jour_fin,fenetre_jours,code_commune,section_naf,nom_commune,libelle_section_naf,nb_creations,nb_immatriculations,nb_transferts,nb_ventes_fonds,nb_modifications,nb_radiations,nb_sauvegardes,nb_redressements,nb_liquidations,nb_plans_cession,nb_defaillances,nb_depots_comptes,nb_evenements,solde_net
2026-09-22,30,34154,C,Mauguio,Industrie manufacturiere,0,0,0,0,0,0,0,0,0,0,0,4,4,0
2026-09-22,30,34157,F,Mèze,Construction,0,0,0,0,1,1,0,0,0,0,0,1,4,-1
2026-09-22,30,34162,L,Montagnac,Activites immobilieres,0,0,0,0,1,1,0,0,0,0,0,2,4,-1
2026-09-22,30,34169,K,Montferrier-sur-Lez,Activites financieres et d'assurance,0,0,0,0,0,0,0,0,0,0,0,4,4,0
2026-09-22,30,34169,L,Montferrier-sur-Lez,Activites immobilieres,0,0,2,0,1,0,0,0,0,0,0,1,4,0
2026-09-22,30,34209,I,Portiragnes,Hebergement et restauration,0,0,0,0,0,0,0,0,0,0,0,4,4,0
2026-09-22,30,34239,G,Saint-André-de-Sangonis,"Commerce, reparation d'automobiles",2,0,0,0,1,0,0,0,0,0,0,1,4,2
2026-09-22,30,34240,J,Saint-Aunès,Information et communication,0,0,0,0,0,1,0,0,0,0,0,3,4,-1
2026-09-22,30,34247,L,Saint-Clément-de-Rivière,Activites immobilieres,1,0,2,0,0,0,0,0,0,0,0,1,4,1
2026-09-22,30,34255,G,Saint-Gély-du-Fesc,"Commerce, reparation d'automobiles",1,0,0,0,0,0,0,0,0,0,0,3,4,1
2026-09-22,30,34259,L,Saint-Georges-d'Orques,Activites immobilieres,1,0,0,0,0,0,0,0,0,0,0,3,4,1
2026-09-22,30,34259,F,Saint-Georges-d'Orques,Construction,0,0,0,0,0,0,0,0,1,0,1,3,4,-1
2026-09-22,30,34270,J,Saint-Jean-de-Védas,Information et communication,1,0,0,0,0,1,0,0,0,0,0,2,4,0
2026-09-22,30,34270,H,Saint-Jean-de-Védas,Transports et entreposage,1,0,0,0,0,1,0,0,0,0,0,2,4,0
2026-09-22,30,34320,L,Vailhauquès,Activites immobilieres,1,0,0,0,1,1,0,0,0,0,0,1,4,0
2026-09-22,30,34329,C,Vendres,Industrie manufacturiere,0,0,0,0,0,0,0,0,0,0,0,4,4,0
2026-09-22,30,34333,L,Vic-la-Gardiole,Activites immobilieres,1,0,0,0,1,0,0,0,0,0,0,2,4,1
2026-09-22,30,34336,M,Villeneuve-lès-Béziers,"Activites specialisees, scientifiques et techniques",0,0,0,0,0,0,0,0,0,0,0,4,4,0
2026-09-22,30,34337,L,Villeneuve-lès-Maguelone,Activites immobilieres,1,0,0,0,2,0,0,0,0,0,0,1,4,1
2026-09-22,30,34344,F,La Grande-Motte,Construction,0,0,0,0,0,0,0,0,0,0,0,4,4,0
