jour_fin,fenetre_jours,code_commune,section_naf,nom_commune,libelle_section_naf,nb_creations,nb_immatriculations,nb_transferts,nb_ventes_fonds,nb_modifications,nb_radiations,nb_sauvegardes,nb_redressements,nb_liquidations,nb_plans_cession,nb_defaillances,nb_depots_comptes,nb_evenements,solde_net
2026-09-22,30,34003,I,Agde,Hebergement et restauration,1,0,0,0,0,2,0,0,0,0,0,1,4,-1
2026-09-22,30,34022,H,Baillargues,Transports et entreposage,1,0,0,0,0,2,0,0,0,0,0,0,4,-1
2026-09-22,30,34032,K,Béziers,Activites financieres et d'assurance,0,0,0,0,0,0,0,0,0,0,0,4,4,0
2026-09-22,30,34129,I,Lattes,Hebergement et restauration,1,0,0,0,1,0,0,0,0,0,0,1,4,1
2026-09-22,30,34154,N,Mauguio,Services administratifs et de soutien,0,0,0,0,1,0,0,0,0,0,0,3,4,0
2026-09-22,30,34172,Q,Montpellier,Sante humaine et action sociale,0,0,0,0,0,0,0,0,0,0,0,4,4,0
2026-09-22,30,34270,Q,Saint-Jean-de-Védas,Sante humaine et action sociale,1,0,0,0,0,0,0,0,0,0,0,3,4,1
2026-09-22,30,34301,A,Sète,"Agriculture, sylviculture et peche",0,0,0,0,2,0,0,0,0,0,0,2,4,0
2026-09-22,30,34301,I,Sète,Hebergement et restauration,1,0,0,0,0,1,0,0,0,0,0,1,4,0
2026-09-22,30,,Z,,Secteur non renseigne,0,0,0,0,0,3,0,0,0,0,0,0,3,-3
2026-09-22,30,34003,G,Agde,"Commerce, reparation d'automobiles",1,0,0,0,0,0,0,0,0,0,0,2,3,1
2026-09-22,30,34003,M,Agde,"Activites specialisees, scientifiques et techniques",0,0,1,0,1,0,0,0,0,0,0,1,3,0
2026-09-22,30,34032,C,Béziers,Industrie manufacturiere,1,0,0,0,0,0,0,0,0,0,0,1,3,1
2026-09-22,30,34032,E,Béziers,"Eau, assainissement, dechets",2,0,0,0,0,1,0,0,0,0,0,0,3,1
2026-09-22,30,34057,Z,Castelnau-le-Lez,Secteur non renseigne,2,0,0,1,0,0,0,0,0,0,0,0,3,2
2026-09-22,30,34057,L,Castelnau-le-Lez,Activites immobilieres,1,0,1,0,0,0,0,0,0,0,0,1,3,1
2026-09-22,30,34057,N,Castelnau-le-Lez,Services administratifs et de soutien,0,0,0,0,0,0,0,0,0,0,0,2,3,0
2026-09-22,30,34058,L,Castries,Activites immobilieres,0,0,0,0,1,0,0,0,0,0,0,2,3,0
2026-09-22,30,34111,S,Ganges,Autres activites de services,0,0,0,1,0,0,0,0,1,0,1,1,3,-1
2026-09-22,30,34116,G,Grabels,"Commerce, reparation d'automobiles",1,0,0,0,1,0,0,0,0,0,0,1,3,1
2026-09-22,30,34129,K,Lattes,Activites financieres et d'assurance,0,0,0,0,2,0,0,0,0,0,0,1,3,0
2026-09-22,30,34129,L,Lattes,Activites immobilieres,0,0,1,0,0,0,0,0,0,0,0,2,3,0
2026-09-22,30,34129,M,Lattes,"Activites specialisees, scientifiques et techniques",0,0,0,0,0,0,0,0,0,0,0,2,3,0
2026-09-22,30,34145,F,Lunel,Construction,1,0,0,0,0,0,0,0,0,0,0,1,3,1
2026-09-22,30,34154,L,Mauguio,Activites immobilieres,2,0,1,0,0,0,0,0,0,0,0,0,3,2
2026-09-22,30,34154,G,Mauguio,"Commerce, reparation d'automobiles",1,0,0,0,1,1,0,0,0,0,0,0,3,0
2026-09-22,30,34157,L,Mèze,Activites immobilieres,0,0,0,0,1,0,0,0,0,0,0,2,3,0
2026-09-22,30,34172,R,Montpellier,"Arts, spectacles et activites recreatives",0,0,0,0,0,1,0,0,0,0,0,1,3,-1
2026-09-22,30,34240,J,Saint-Aunès,Information et communication,0,0,0,0,0,0,0,0,0,0,0,3,3,0
2026-09-22,30,34240,M,Saint-Aunès,"Activites specialisees, scientifiques et techniques",0,0,0,0,0,0,0,0,0,0,0,3,3,0
2026-09-22,30,34255,L,Saint-Gély-du-Fesc,Activites immobilieres,0,0,0,0,0,1,0,0,0,0,0,2,3,-1
2026-09-22,30,34270,M,Saint-Jean-de-Védas,"Activites specialisees, scientifiques et techniques",0,0,0,0,0,1,0,0,0,0,0,2,3,-1
2026-09-22,30,34276,G,Saint-Mathieu-de-Tréviers,"Commerce, reparation d'automobiles",2,0,0,0,0,0,0,0,0,0,0,1,3,2
